Module Pin,Module Net,Carrier J1,Carrier J2,Carrier J3,Carrier J4,Carrier J5,Carrier J6
A52,Ch_90,Col_31-Row_2,Col_29-Row_8,Col_29-Row_11,Col_17-Row_5,Col_14-Row_10,Col_16-Row_16
A53,Ch_92,Col_31-Row_3,Col_28-Row_6,Col_28-Row_13,Col_17-Row_4,Col_14-Row_11,Col_17-Row_14
A54,Ch_94,Col_30-Row_1,Col_28-Row_7,Col_28-Row_12,Col_18-Row_5,Col_15-Row_9,Col_17-Row_15
A55,Ch_96,Col_30-Row_2,Col_28-Row_8,Col_28-Row_11,Col_18-Row_4,Col_15-Row_10,Col_17-Row_16
A56,Ch_98,Col_30-Row_3,Col_27-Row_6,Col_27-Row_13,Col_19-Row_5,Col_15-Row_11,Col_18-Row_14
A57,Ch_100,Col_29-Row_1,Col_27-Row_7,Col_27-Row_12,Col_19-Row_4,Col_16-Row_9,Col_18-Row_15
A58,Ch_102,Col_29-Row_2,Col_27-Row_8,Col_27-Row_11,Col_20-Row_5,Col_16-Row_10,Col_18-Row_16
A59,Ch_104,Col_29-Row_3,Col_26-Row_6,Col_26-Row_13,Col_20-Row_3,Col_17-Row_9,Col_19-Row_14
A6,Master_Trigg,Master_Trigg_B,Master_Trigg_B,Master_Trigg_B,Master_Trigg_A,Master_Trigg_A,Master_Trigg_A
A60,Ch_106,Col_28-Row_1,Col_26-Row_7,Col_26-Row_12,Col_20-Row_4,Col_17-Row_10,Col_19-Row_15
